payment_id,order_id,payment_date,amount_cents,channel
PM-000070,O-00018,2025-07-22,740126,Mobile money
PM-000071,O-00018,2025-06-30,381174,Cash at site
PM-000072,O-00019,2025-03-01,378688,Mobile money
PM-000073,O-00019,2025-04-12,555386,Mobile money
PM-000074,O-00019,2025-05-28,347762,Mobile money
PM-000075,O-00019,2025-08-15,360130,Mobile money
PM-000076,O-00020,2025-09-29,392967,Mobile money
PM-000077,O-00020,2025-11-05,381763,Bank deposit
PM-000078,O-00020,2025-12-13,267733,Mobile money
PM-000079,O-00020,2026-02-21,394333,Mobile money
PM-000080,O-00021,2025-03-21,412095,Mobile money
PM-000081,O-00021,2025-03-26,331513,Mobile money
PM-000082,O-00021,2025-05-29,219866,Bank deposit
PM-000083,O-00021,2025-06-11,360477,Mobile money
PM-000084,O-00021,2025-07-21,174989,Mobile money
PM-000085,O-00021,2025-08-12,299108,Mobile money
PM-000086,O-00021,2025-10-05,336527,Bank deposit
PM-000087,O-00022,2025-07-22,261390,Cash at site
PM-000088,O-00022,2025-09-03,197932,Mobile money
PM-000089,O-00022,2025-10-03,348409,Cash at site
PM-000090,O-00022,2025-10-31,250154,Mobile money
PM-000091,O-00022,2026-01-15,168207,Cash at site
PM-000092,O-00022,2025-11-03,166234,Mobile money
PM-000093,O-00022,2026-01-22,312236,Mobile money
PM-000094,O-00023,2025-09-01,85550,Mobile money
PM-000095,O-00023,2025-09-13,186557,Mobile money
PM-000096,O-00023,2025-09-26,130354,Cash at site
PM-000097,O-00023,2025-11-22,124204,Cash at site
PM-000098,O-00023,2025-11-20,150524,Mobile money
PM-000099,O-00023,2025-12-17,120922,Mobile money
PM-000100,O-00023,2026-02-26,130740,Mobile money
PM-000101,O-00024,2026-04-02,33401,Mobile money
PM-000102,O-00024,2026-03-26,45901,Mobile money
PM-000103,O-00024,2026-07-26,24504,Bank deposit
PM-000104,O-00024,2026-07-01,41362,Cash at site
PM-000105,O-00025,2025-03-18,675260,Mobile money
PM-000106,O-00025,2025-05-22,653386,Mobile money
PM-000107,O-00025,2025-07-06,311631,Mobile money
PM-000108,O-00025,2025-08-02,593124,Mobile money
PM-000109,O-00026,2025-10-22,80023,Cash at site
PM-000110,O-00026,2026-01-10,74700,Mobile money
PM-000111,O-00026,2025-11-23,55354,Mobile money
PM-000112,O-00027,2025-11-07,2808342,Mobile money
PM-000113,O-00027,2026-01-23,1885535,Cash at site
PM-000114,O-00028,2026-03-30,218260,Mobile money
PM-000115,O-00028,2026-04-17,480873,Mobile money
PM-000116,O-00028,2026-06-15,271364,Mobile money
PM-000117,O-00029,2025-03-10,240993,Mobile money
PM-000118,O-00029,2025-04-10,193447,Mobile money
PM-000119,O-00029,2025-04-02,146953,Bank deposit
PM-000120,O-00029,2025-07-23,337803,Mobile money
PM-000121,O-00029,2025-09-12,267231,Mobile money
PM-000122,O-00029,2025-08-15,154555,Mobile money
PM-000123,O-00030,2025-08-10,189296,Cash at site
PM-000124,O-00030,2025-09-09,267748,Mobile money
PM-000125,O-00030,2025-10-10,311414,Mobile money
PM-000126,O-00030,2025-11-04,204141,Mobile money
PM-000127,O-00030,2025-11-08,224486,Mobile money
PM-000128,O-00030,2025-11-11,367202,Cash at site
PM-000129,O-00031,2026-03-18,34266,Bank deposit
PM-000130,O-00031,2026-05-15,24148,Mobile money
PM-000131,O-00031,2026-05-19,53722,Cash at site
PM-000132,O-00031,2026-07-21,22297,Mobile money
PM-000133,O-00031,2026-10-22,46360,Cash at site
PM-000134,O-00032,2025-09-04,107692,Bank deposit
PM-000135,O-00032,2025-10-13,204992,Mobile money
PM-000136,O-00032,2025-11-21,144511,Mobile money
PM-000137,O-00032,2026-03-08,206998,Bank deposit
PM-000138,O-00033,2025-04-13,31072,Bank deposit
PM-000139,O-00033,2025-04-13,25113,Mobile money
PM-000140,O-00033,2025-06-24,26719,Mobile money
PM-000141,O-00033,2025-05-24,19382,Mobile money
PM-000142,O-00033,2025-08-21,12149,Bank deposit
PM-000143,O-00034,2025-06-26,430366,Bank deposit
PM-000144,O-00034,2025-10-30,815085,Mobile money
PM-000145,O-00035,2026-02-23,293761,Mobile money
PM-000146,O-00035,2026-04-05,257026,Mobile money
PM-000147,O-00035,2026-05-11,219181,Bank deposit
PM-000148,O-00035,2026-06-04,237915,Mobile money
PM-000149,O-00035,2026-07-18,392243,Mobile money
PM-000150,O-00035,2026-09-24,327718,Mobile money
PM-000151,O-00035,2026-07-12,226206,Bank deposit
PM-000152,O-00036,2025-08-09,133832,Bank deposit
PM-000153,O-00036,2025-09-20,140623,Bank deposit
PM-000154,O-00036,2025-10-26,95497,Bank deposit
PM-000155,O-00036,2025-11-18,123553,Bank deposit
PM-000156,O-00036,2025-10-22,169273,Mobile money
PM-000157,O-00036,2026-02-19,141993,Cash at site
PM-000158,O-00036,2026-03-07,66961,Mobile money
PM-000159,O-00037,2026-03-21,109361,Mobile money
PM-000160,O-00037,2026-04-11,123048,Mobile money
PM-000161,O-00037,2026-04-28,208386,Mobile money
PM-000162,O-00037,2026-05-24,127666,Cash at site
PM-000163,O-00037,2026-08-02,143634,Cash at site
PM-000164,O-00037,2026-07-27,118861,Mobile money
PM-000165,O-00038,2025-10-18,732046,Bank deposit
PM-000166,O-00038,2025-11-20,370531,Mobile money
PM-000167,O-00038,2026-02-26,608760,Mobile money
PM-000168,O-00039,2025-09-20,1926766,Mobile money
PM-000169,O-00039,2025-12-13,983897,Mobile money
PM-000170,O-00040,2026-05-23,805305,Mobile money
PM-000171,O-00040,2026-08-22,1720471,Bank deposit
PM-000172,O-00041,2025-04-29,588842,Bank deposit
PM-000173,O-00041,2025-07-10,657618,Cash at site
PM-000174,O-00041,2025-06-02,364208,Cash at site
PM-000175,O-00042,2025-09-01,144156,Mobile money
PM-000176,O-00042,2025-11-05,115340,Bank deposit
PM-000177,O-00042,2026-01-08,182841,Mobile money
PM-000178,O-00042,2026-02-15,254162,Bank deposit
PM-000179,O-00043,2025-04-07,424303,Mobile money
PM-000180,O-00043,2025-05-30,806906,Bank deposit
PM-000181,O-00043,2025-07-22,703790,Bank deposit
PM-000182,O-00043,2025-08-08,660094,Cash at site
PM-000183,O-00044,2026-03-23,64171,Mobile money
PM-000184,O-00044,2026-05-01,69019,Mobile money
PM-000185,O-00044,2026-06-28,95120,Mobile money
PM-000186,O-00044,2026-06-16,42875,Mobile money
PM-000187,O-00044,2026-10-28,81846,Mobile money
PM-000188,O-00045,2025-03-29,325863,Mobile money
PM-000189,O-00045,2025-04-01,345718,Mobile money
PM-000190,O-00045,2025-06-01,283743,Mobile money
PM-000191,O-00045,2025-07-20,355505,Mobile money
PM-000192,O-00045,2025-08-05,213816,Cash at site
PM-000193,O-00045,2025-07-07,209367,Cash at site
PM-000194,O-00046,2025-09-27,174319,Mobile money
PM-000195,O-00046,2025-09-25,146432,Mobile money
PM-000196,O-00046,2026-01-21,149094,Bank deposit
PM-000197,O-00046,2026-02-23,73987,Cash at site
PM-000198,O-00047,2025-04-21,597586,Mobile money
PM-000199,O-00047,2025-07-11,378768,Mobile money
PM-000200,O-00047,2025-07-02,597443,Mobile money
PM-000201,O-00048,2025-05-30,1008939,Mobile money
PM-000202,O-00048,2025-06-14,636285,Mobile money
PM-000203,O-00049,2026-04-19,357179,Mobile money
PM-000204,O-00049,2026-06-12,494306,Mobile money
PM-000205,O-00049,2026-07-07,340846,Mobile money
PM-000206,O-00049,2026-08-10,572224,Bank deposit
PM-000207,O-00050,2025-08-07,276543,Mobile money
PM-000208,O-00050,2025-09-21,168710,Cash at site
PM-000209,O-00050,2025-10-26,190595,Bank deposit
PM-000210,O-00050,2025-12-06,297068,Cash at site
PM-000211,O-00050,2025-12-25,202383,Cash at site
PM-000212,O-00050,2025-11-17,343250,Cash at site
PM-000213,O-00050,2025-12-14,178274,Mobile money
PM-000214,O-00051,2025-08-13,261321,Mobile money
PM-000215,O-00051,2025-09-10,494653,Mobile money
PM-000216,O-00051,2025-10-28,363237,Mobile money
PM-000217,O-00051,2025-12-28,285153,Mobile money
PM-000218,O-00051,2026-01-14,628699,Mobile money
PM-000219,O-00051,2026-01-22,496340,Bank deposit
PM-000220,O-00052,2025-03-01,185762,Mobile money
PM-000221,O-00052,2025-04-05,157181,Mobile money
PM-000222,O-00052,2025-06-01,183269,Mobile money
PM-000223,O-00052,2025-04-18,164396,Mobile money
PM-000224,O-00052,2025-05-28,94760,Cash at site
PM-000225,O-00052,2025-06-19,132104,Cash at site
PM-000226,O-00053,2026-02-24,162215,Cash at site
PM-000227,O-00053,2026-03-14,126902,Mobile money
PM-000228,O-00053,2026-04-26,202347,Mobile money
PM-000229,O-00053,2026-05-16,151338,Mobile money
PM-000230,O-00053,2026-07-10,186730,Mobile money
PM-000231,O-00053,2026-06-18,172787,Mobile money
PM-000232,O-00053,2026-10-20,131402,Mobile money
PM-000233,O-00054,2025-04-09,377956,Mobile money
PM-000234,O-00054,2025-04-13,189148,Mobile money
PM-000235,O-00054,2025-07-17,259373,Bank deposit
PM-000236,O-00054,2025-10-07,395939,Mobile money
PM-000237,O-00055,2026-03-02,293543,Mobile money
PM-000238,O-00055,2026-04-11,663715,Mobile money
PM-000239,O-00055,2026-03-29,462718,Mobile money
PM-000240,O-00055,2026-07-01,480932,Mobile money
PM-000241,O-00055,2026-04-30,543966,Mobile money
PM-000242,O-00055,2026-07-18,420786,Mobile money
PM-000243,O-00055,2026-07-08,314906,Mobile money
PM-000244,O-00056,2025-05-17,1336349,Mobile money
PM-000245,O-00056,2025-11-02,601474,Bank deposit
PM-000246,O-00057,2025-09-07,805000,Cash at site
PM-000247,O-00057,2025-09-17,993442,Cash at site
PM-000248,O-00057,2025-10-26,1021836,Mobile money
PM-000249,O-00057,2025-12-20,715980,Mobile money
PM-000250,O-00057,2025-11-27,773190,Bank deposit
PM-000251,O-00057,2026-01-05,762615,Mobile money
PM-000252,O-00058,2025-03-14,91627,Mobile money
PM-000253,O-00058,2025-04-13,93063,Mobile money
PM-000254,O-00058,2025-04-19,88991,Mobile money
PM-000255,O-00058,2025-06-28,48109,Bank deposit
PM-000256,O-00058,2025-08-08,50550,Bank deposit
PM-000257,O-00058,2025-09-11,75128,Bank deposit
PM-000258,O-00059,2025-09-15,340580,Mobile money
PM-000259,O-00059,2025-10-12,382291,Mobile money
PM-000260,O-00059,2025-10-20,246828,Mobile money
PM-000261,O-00059,2025-12-21,580307,Cash at site
PM-000262,O-00059,2026-03-11,277784,Mobile money
PM-000263,O-00060,2026-02-04,334835,Cash at site
PM-000264,O-00060,2026-04-06,250037,Cash at site
PM-000265,O-00060,2026-03-17,227568,Bank deposit
PM-000266,O-00060,2026-04-01,242266,Bank deposit
PM-000267,O-00060,2026-07-31,292661,Mobile money
PM-000268,O-00060,2026-06-17,164231,Mobile money
PM-000269,O-00060,2026-06-26,311641,Mobile money
PM-000270,O-00061,2025-09-25,581981,Cash at site
PM-000271,O-00061,2025-11-05,633966,Cash at site
PM-000272,O-00061,2025-11-25,1011539,Mobile money
PM-000273,O-00062,2026-04-14,438915,Cash at site
PM-000274,O-00062,2026-05-06,491828,Bank deposit
PM-000275,O-00062,2026-08-01,419299,Cash at site
PM-000276,O-00062,2026-07-07,388487,Mobile money
PM-000277,O-00063,2026-03-03,364383,Mobile money
PM-000278,O-00063,2026-03-30,334732,Mobile money
PM-000279,O-00063,2026-04-15,558476,Bank deposit
PM-000280,O-00063,2026-04-10,508375,Bank deposit
PM-000281,O-00063,2026-06-20,618380,Bank deposit
PM-000282,O-00063,2026-09-20,373432,Bank deposit
PM-000283,O-00063,2026-09-09,478174,Cash at site
PM-000284,O-00064,2025-09-15,342544,Bank deposit
PM-000285,O-00064,2025-12-18,432538,Bank deposit
PM-000286,O-00064,2026-01-18,572944,Bank deposit
PM-000287,O-00065,2025-04-21,413223,Mobile money
PM-000288,O-00065,2025-06-21,457523,Bank deposit
PM-000289,O-00066,2026-03-22,473458,Mobile money
PM-000290,O-00066,2026-04-12,330817,Mobile money
PM-000291,O-00066,2026-05-14,213267,Bank deposit
PM-000292,O-00066,2026-06-22,490847,Cash at site
PM-000293,O-00066,2026-06-17,301347,Bank deposit
PM-000294,O-00067,2025-08-29,472863,Mobile money
PM-000295,O-00067,2025-09-27,587190,Mobile money
PM-000296,O-00067,2025-11-19,336289,Mobile money
PM-000297,O-00067,2026-01-10,562478,Bank deposit
PM-000298,O-00067,2026-01-30,266418,Bank deposit
PM-000299,O-00068,2026-04-11,62534,Mobile money
PM-000300,O-00068,2026-06-19,88127,Mobile money
PM-000301,O-00068,2026-08-28,74434,Bank deposit
PM-000302,O-00068,2026-08-01,42491,Cash at site
PM-000303,O-00069,2025-05-08,559109,Mobile money
PM-000304,O-00069,2025-08-06,902197,Mobile money
PM-000305,O-00070,2025-08-25,465457,Mobile money
PM-000306,O-00070,2025-10-17,405409,Cash at site
PM-000307,O-00070,2026-01-18,746815,Mobile money
PM-000308,O-00071,2026-03-19,586104,Cash at site
PM-000309,O-00071,2026-06-10,758302,Bank deposit
PM-000310,O-00071,2026-06-09,687433,Mobile money
PM-000311,O-00072,2025-03-28,286070,Mobile money
PM-000312,O-00072,2025-04-02,369747,Cash at site
PM-000313,O-00072,2025-06-28,286546,Bank deposit
PM-000314,O-00072,2025-08-17,178248,Bank deposit
PM-000315,O-00072,2025-06-13,225453,Mobile money
PM-000316,O-00073,2025-08-03,440731,Mobile money
PM-000317,O-00073,2025-09-02,378809,Mobile money
PM-000318,O-00073,2025-09-27,292193,Mobile money
PM-000319,O-00073,2025-10-29,546480,Mobile money
PM-000320,O-00073,2025-10-19,308097,Mobile money
PM-000321,O-00073,2025-10-24,404541,Cash at site
PM-000322,O-00073,2026-02-21,425678,Mobile money
PM-000323,O-00074,2025-03-12,567030,Cash at site
PM-000324,O-00074,2025-07-12,434533,Mobile money
PM-000325,O-00074,2025-10-22,766084,Cash at site
PM-000326,O-00075,2026-03-18,16276,Mobile money
PM-000327,O-00075,2026-05-03,15870,Mobile money
PM-000328,O-00075,2026-06-22,29235,Bank deposit
PM-000329,O-00075,2026-05-18,27396,Mobile money
PM-000330,O-00075,2026-08-29,13867,Bank deposit
PM-000331,O-00076,2025-11-11,208373,Mobile money
PM-000332,O-00076,2026-03-26,174855,Bank deposit
PM-000333,O-00077,2025-09-30,536876,Mobile money
PM-000334,O-00077,2025-11-12,754154,Bank deposit
PM-000335,O-00077,2025-11-12,479707,Bank deposit
PM-000336,O-00078,2025-10-19,255201,Cash at site
PM-000337,O-00078,2025-12-14,309856,Bank deposit
PM-000338,O-00079,2026-04-22,296445,Cash at site
PM-000339,O-00079,2026-06-24,219005,Mobile money
PM-000340,O-00079,2026-07-16,387505,Mobile money
PM-000341,O-00080,2025-03-21,130443,Bank deposit
PM-000342,O-00080,2025-05-13,152477,Mobile money
PM-000343,O-00080,2025-06-22,134602,Mobile money
PM-000344,O-00080,2025-05-12,154850,Mobile money
PM-000345,O-00080,2025-07-07,68311,Mobile money
PM-000346,O-00081,2025-09-14,177292,Mobile money
PM-000347,O-00081,2025-10-08,121542,Bank deposit
PM-000348,O-00081,2025-11-21,103785,Bank deposit
PM-000349,O-00081,2025-11-02,163196,Mobile money
PM-000350,O-00081,2025-11-10,115537,Cash at site
PM-000351,O-00081,2026-02-22,248949,Mobile money
PM-000352,O-00082,2026-04-08,610306,Bank deposit
PM-000353,O-00082,2026-07-06,436157,Mobile money
PM-000354,O-00083,2025-03-24,110315,Mobile money
PM-000355,O-00083,2025-06-02,170095,Cash at site
PM-000356,O-00083,2025-08-17,78367,Mobile money
PM-000357,O-00083,2025-10-14,171587,Mobile money
PM-000358,O-00084,2025-08-31,224954,Bank deposit
PM-000359,O-00084,2025-12-09,412394,Mobile money
PM-000360,O-00084,2026-03-21,480644,Cash at site
PM-000361,O-00085,2026-04-23,150413,Mobile money
PM-000362,O-00085,2026-07-24,324180,Mobile money
PM-000363,O-00085,2026-07-26,197302,Mobile money
PM-000364,O-00086,2025-11-10,505047,Mobile money
PM-000365,O-00086,2026-01-05,467303,Bank deposit
PM-000366,O-00087,2025-04-02,165111,Cash at site
PM-000367,O-00087,2025-04-20,193987,Mobile money
PM-000368,O-00087,2025-05-11,252221,Mobile money
PM-000369,O-00087,2025-09-06,229869,Bank deposit
PM-000370,O-00087,2025-10-11,383028,Bank deposit
PM-000371,O-00088,2026-03-03,331024,Mobile money
PM-000372,O-00088,2026-05-07,216612,Mobile money
PM-000373,O-00088,2026-05-20,262146,Bank deposit
PM-000374,O-00088,2026-06-30,272054,Mobile money
PM-000375,O-00088,2026-09-11,248066,Mobile money
PM-000376,O-00089,2025-08-13,568263,Mobile money
PM-000377,O-00089,2025-09-06,750696,Mobile money
PM-000378,O-00089,2025-10-18,736462,Mobile money
PM-000379,O-00089,2026-02-08,522938,Mobile money
PM-000380,O-00089,2026-03-19,581681,Bank deposit
PM-000381,O-00090,2026-03-26,297176,Mobile money
PM-000382,O-00090,2026-04-23,560807,Cash at site
PM-000383,O-00090,2026-05-19,445735,Cash at site
PM-000384,O-00090,2026-07-23,599894,Cash at site
PM-000385,O-00090,2026-11-02,399681,Bank deposit
PM-000386,O-00091,2025-08-11,524014,Cash at site
PM-000387,O-00091,2025-08-30,278420,Mobile money
PM-000388,O-00091,2025-08-31,435495,Mobile money
PM-000389,O-00091,2025-10-29,380781,Mobile money
PM-000390,O-00091,2026-01-10,304285,Mobile money
PM-000391,O-00091,2025-11-08,352586,Cash at site
PM-000392,O-00091,2025-12-02,660561,Mobile money
PM-000393,O-00092,2025-08-29,203335,Bank deposit
PM-000394,O-00092,2025-11-15,206021,Cash at site
PM-000395,O-00092,2026-01-16,160012,Mobile money
PM-000396,O-00092,2026-01-09,114328,Mobile money
PM-000397,O-00093,2026-03-06,546232,Mobile money
PM-000398,O-00093,2026-05-04,568651,Bank deposit
PM-000399,O-00093,2026-05-26,327306,Bank deposit
PM-000400,O-00093,2026-08-30,525732,Bank deposit
PM-000401,O-00093,2026-06-25,498979,Bank deposit
PM-000402,O-00094,2025-08-31,1234364,Cash at site
PM-000403,O-00094,2025-12-24,918258,Mobile money
PM-000404,O-00094,2026-02-12,687181,Cash at site
PM-000405,O-00095,2026-03-06,114234,Cash at site
PM-000406,O-00095,2026-04-09,177873,Bank deposit
PM-000407,O-00095,2026-05-17,192645,Cash at site
PM-000408,O-00095,2026-06-23,176457,Mobile money
PM-000409,O-00095,2026-05-05,195459,Cash at site
PM-000410,O-00095,2026-09-08,126787,Mobile money
PM-000411,O-00095,2026-08-15,121444,Bank deposit
PM-000412,O-00096,2025-04-23,691686,Mobile money
PM-000413,O-00096,2025-07-13,522783,Mobile money
PM-000414,O-00096,2025-06-11,425561,Mobile money
PM-000415,O-00097,2025-08-27,207531,Bank deposit
PM-000416,O-00097,2025-09-26,122542,Mobile money
PM-000417,O-00097,2025-10-31,180722,Mobile money
PM-000418,O-00097,2025-11-26,256022,Mobile money
PM-000419,O-00097,2025-12-15,159588,Cash at site
PM-000420,O-00097,2025-11-25,279829,Mobile money
PM-000421,O-00097,2026-02-12,141791,Bank deposit
PM-000422,O-00098,2026-03-16,188001,Mobile money
PM-000423,O-00098,2026-04-03,157785,Mobile money
PM-000424,O-00098,2026-06-16,274646,Mobile money
PM-000425,O-00098,2026-06-12,234662,Bank deposit
PM-000426,O-00098,2026-07-06,173689,Cash at site
PM-000427,O-00098,2026-09-29,174891,Mobile money
PM-000428,O-00099,2026-06-17,84878,Bank deposit
PM-000429,O-00099,2026-10-28,61593,Cash at site
PM-000430,O-00100,2025-04-11,73701,Mobile money
PM-000431,O-00100,2025-05-26,45754,Cash at site
PM-000432,O-00100,2025-07-03,59281,Cash at site
PM-000433,O-00101,2025-08-19,142189,Mobile money
PM-000434,O-00101,2025-09-26,159689,Bank deposit
PM-000435,O-00101,2025-11-24,302720,Bank deposit
PM-000436,O-00101,2025-12-25,164283,Bank deposit
PM-000437,O-00101,2025-12-16,325553,Bank deposit
PM-000438,O-00102,2025-03-27,278985,Mobile money
PM-000439,O-00102,2025-04-27,177422,Bank deposit
PM-000440,O-00102,2025-05-06,140037,Mobile money
PM-000441,O-00102,2025-05-21,243202,Cash at site
PM-000442,O-00102,2025-07-25,180167,Mobile money
PM-000443,O-00102,2025-07-27,255638,Mobile money
PM-000444,O-00102,2025-08-09,133663,Bank deposit
PM-000445,O-00103,2025-08-31,403049,Cash at site
PM-000446,O-00103,2025-09-15,514784,Mobile money
PM-000447,O-00103,2025-10-04,797387,Cash at site
PM-000448,O-00103,2025-11-01,377616,Cash at site
PM-000449,O-00104,2025-09-02,106639,Mobile money
PM-000450,O-00104,2025-09-15,107304,Mobile money
PM-000451,O-00104,2025-10-04,174674,Bank deposit
PM-000452,O-00104,2025-10-25,159895,Bank deposit
PM-000453,O-00104,2026-02-01,166442,Bank deposit
PM-000454,O-00104,2026-03-01,123900,Mobile money
PM-000455,O-00105,2025-03-02,85558,Bank deposit
PM-000456,O-00105,2025-04-25,81670,Mobile money
PM-000457,O-00105,2025-04-24,76298,Bank deposit
PM-000458,O-00105,2025-08-02,125469,Mobile money
PM-000459,O-00106,2026-02-24,67290,Cash at site
PM-000460,O-00106,2026-02-26,53391,Mobile money
PM-000461,O-00106,2026-04-19,78951,Cash at site
PM-000462,O-00106,2026-04-21,61938,Mobile money
PM-000463,O-00106,2026-06-25,43391,Cash at site
PM-000464,O-00106,2026-06-21,77684,Mobile money
PM-000465,O-00106,2026-06-29,39220,Mobile money
PM-000466,O-00107,2026-03-18,36587,Mobile money
PM-000467,O-00107,2026-04-18,61731,Cash at site
PM-000468,O-00107,2026-08-16,62624,Bank deposit
PM-000469,O-00107,2026-10-27,46832,Mobile money
PM-000470,O-00108,2025-09-02,34676,Mobile money
PM-000471,O-00108,2025-09-13,53867,Cash at site
PM-000472,O-00108,2025-11-13,24075,Mobile money
PM-000473,O-00108,2025-11-19,44337,Mobile money
PM-000474,O-00108,2025-11-04,55009,Mobile money
PM-000475,O-00108,2025-12-20,33146,Mobile money
PM-000476,O-00109,2025-03-06,148268,Mobile money
PM-000477,O-00109,2025-03-18,116856,Bank deposit
PM-000478,O-00109,2025-04-19,150669,Cash at site
PM-000479,O-00109,2025-05-16,264078,Mobile money
PM-000480,O-00109,2025-06-21,229593,Mobile money
PM-000481,O-00109,2025-07-28,190121,Bank deposit
PM-000482,O-00109,2025-10-30,121648,Cash at site
PM-000483,O-00110,2025-03-26,42562,Mobile money
PM-000484,O-00110,2025-06-22,34979,Mobile money
PM-000485,O-00110,2025-06-25,20105,Mobile money
PM-000486,O-00111,2025-08-23,18322,Mobile money
PM-000487,O-00111,2025-11-05,10516,Mobile money
PM-000488,O-00111,2025-11-12,23354,Mobile money
PM-000489,O-00111,2026-04-02,14205,Cash at site
PM-000490,O-00112,2025-03-15,388506,Mobile money
PM-000491,O-00112,2025-04-11,344643,Mobile money
PM-000492,O-00112,2025-06-20,302553,Mobile money
PM-000493,O-00112,2025-06-04,302032,Cash at site
PM-000494,O-00112,2025-08-22,120343,Cash at site
PM-000495,O-00112,2025-06-09,236030,Mobile money
PM-000496,O-00113,2026-03-16,77607,Cash at site
PM-000497,O-00113,2026-04-07,115470,Mobile money
PM-000498,O-00113,2026-06-10,89754,Mobile money
PM-000499,O-00113,2026-08-17,204015,Mobile money
PM-000500,O-00113,2026-07-20,127128,Mobile money
PM-000501,O-00114,2025-04-11,821304,Mobile money
PM-000502,O-00114,2025-05-27,731385,Bank deposit
PM-000503,O-00115,2025-08-17,147846,Mobile money
PM-000504,O-00115,2025-09-07,124067,Mobile money
PM-000505,O-00115,2025-10-19,166374,Mobile money
PM-000506,O-00115,2025-12-03,263947,Cash at site
PM-000507,O-00115,2026-01-07,178569,Bank deposit
PM-000508,O-00115,2026-01-11,126780,Mobile money
PM-000509,O-00115,2026-03-15,288347,Mobile money
PM-000510,O-00116,2025-03-06,48097,Bank deposit
PM-000511,O-00116,2025-04-30,46192,Cash at site
PM-000512,O-00116,2025-06-18,103314,Mobile money
