order_id,farmer_id,season,order_date,deadline,principal_cents,service_fee_cents,total_due_cents
O-00232,F-00117,2025B,2025-07-29,2026-02-28,1180000,141600,1321600
O-00233,F-00118,2026A,2026-02-12,2026-09-30,255000,30600,285600
O-00234,F-00118,2025A,2025-01-24,2025-09-30,1253000,150360,1403360
O-00235,F-00118,2025B,2025-07-18,2026-02-28,1440000,172800,1612800
O-00236,F-00119,2025A,2025-02-22,2025-09-30,1907500,228900,2136400
O-00237,F-00119,2025B,2025-07-15,2026-02-28,231000,27720,258720
O-00238,F-00120,2025A,2025-02-01,2025-09-30,145000,17400,162400
O-00239,F-00121,2025A,2025-02-23,2025-09-30,736000,88320,824320
O-00240,F-00122,2026A,2026-01-25,2026-09-30,107000,12840,119840
O-00241,F-00123,2025B,2025-07-20,2026-02-28,1686000,202320,1888320
O-00242,F-00123,2026A,2026-01-20,2026-09-30,1804000,216480,2020480
O-00243,F-00124,2026A,2026-02-14,2026-09-30,3016500,361980,3378480
O-00244,F-00124,2025A,2025-01-22,2025-09-30,2837000,340440,3177440
O-00245,F-00124,2025B,2025-08-03,2026-02-28,2626000,315120,2941120
O-00246,F-00125,2026A,2026-01-18,2026-09-30,1245500,149460,1394960
O-00247,F-00125,2025B,2025-07-31,2026-02-28,281000,33720,314720
O-00248,F-00125,2025A,2025-02-15,2025-09-30,1257000,150840,1407840
O-00249,F-00126,2025B,2025-07-26,2026-02-28,765000,91800,856800
O-00250,F-00126,2026A,2026-01-16,2026-09-30,2464000,295680,2759680
O-00251,F-00126,2025A,2025-02-06,2025-09-30,2550000,306000,2856000
O-00252,F-00127,2025A,2025-01-20,2025-09-30,2810000,337200,3147200
O-00253,F-00127,2026A,2026-02-08,2026-09-30,270000,32400,302400
O-00254,F-00128,2026A,2026-02-05,2026-09-30,2216000,265920,2481920
O-00255,F-00129,2025A,2025-01-15,2025-09-30,1305000,156600,1461600
O-00256,F-00129,2025B,2025-07-13,2026-02-28,966000,115920,1081920
O-00257,F-00130,2025A,2025-01-26,2025-09-30,1056000,126720,1182720
O-00258,F-00130,2026A,2026-01-22,2026-09-30,3287500,394500,3682000
O-00259,F-00131,2025B,2025-07-23,2026-02-28,1636000,196320,1832320
O-00260,F-00131,2026A,2026-01-25,2026-09-30,1460000,175200,1635200
O-00261,F-00131,2025A,2025-02-07,2025-09-30,948000,113760,1061760
O-00262,F-00132,2025A,2025-01-28,2025-09-30,1695000,203400,1898400
O-00263,F-00132,2025B,2025-07-25,2026-02-28,2240000,268800,2508800
O-00264,F-00133,2025A,2025-01-30,2025-09-30,831000,99720,930720
O-00265,F-00133,2025B,2025-07-31,2026-02-28,1145000,137400,1282400
O-00266,F-00133,2026A,2026-01-14,2026-09-30,207000,24840,231840
O-00267,F-00134,2026A,2026-02-09,2026-09-30,1609500,193140,1802640
O-00268,F-00134,2025B,2025-07-12,2026-02-28,1526000,183120,1709120
O-00269,F-00135,2026A,2026-02-11,2026-09-30,4523000,542760,5065760
O-00270,F-00135,2025A,2025-02-04,2025-09-30,3335000,400200,3735200
O-00271,F-00135,2025B,2025-08-05,2026-02-28,1590500,190860,1781360
O-00272,F-00136,2025B,2025-07-12,2026-02-28,510000,61200,571200
O-00273,F-00137,2026A,2026-02-04,2026-09-30,2766500,331980,3098480
O-00274,F-00137,2025B,2025-08-02,2026-02-28,1541000,184920,1725920
O-00275,F-00138,2025A,2025-01-17,2025-09-30,178500,21420,199920
O-00276,F-00138,2025B,2025-07-08,2026-02-28,603500,72420,675920
O-00277,F-00138,2026A,2026-02-12,2026-09-30,1778000,213360,1991360
O-00278,F-00139,2026A,2026-02-01,2026-09-30,722000,86640,808640
O-00279,F-00140,2025A,2025-02-17,2025-09-30,1560000,187200,1747200
O-00280,F-00140,2026A,2026-02-15,2026-09-30,1710000,205200,1915200
O-00281,F-00140,2025B,2025-07-16,2026-02-28,1622000,194640,1816640
O-00282,F-00141,2025A,2025-01-20,2025-09-30,2406000,288720,2694720
O-00283,F-00142,2025A,2025-01-19,2025-09-30,1653000,198360,1851360
O-00284,F-00142,2026A,2026-02-06,2026-09-30,791000,94920,885920
O-00285,F-00142,2025B,2025-07-11,2026-02-28,3117000,374040,3491040
O-00286,F-00143,2025A,2025-01-24,2025-09-30,2383000,285960,2668960
O-00287,F-00143,2026A,2026-01-16,2026-09-30,723000,86760,809760
O-00288,F-00144,2025B,2025-07-20,2026-02-28,476000,57120,533120
O-00289,F-00144,2025A,2025-01-23,2025-09-30,2119000,254280,2373280
O-00290,F-00144,2026A,2026-02-07,2026-09-30,706000,84720,790720
O-00291,F-00145,2025A,2025-01-21,2025-09-30,1796500,215580,2012080
O-00292,F-00145,2025B,2025-07-05,2026-02-28,1643500,197220,1840720
O-00293,F-00146,2025A,2025-02-08,2025-09-30,1471000,176520,1647520
O-00294,F-00146,2025B,2025-08-06,2026-02-28,1031000,123720,1154720
O-00295,F-00147,2026A,2026-01-18,2026-09-30,2216000,265920,2481920
O-00296,F-00147,2025A,2025-02-22,2025-09-30,590500,70860,661360
O-00297,F-00148,2026A,2026-01-19,2026-09-30,1754000,210480,1964480
O-00298,F-00148,2025A,2025-01-18,2025-09-30,2061000,247320,2308320
O-00299,F-00149,2026A,2026-01-30,2026-09-30,1903500,228420,2131920
O-00300,F-00149,2025A,2025-01-25,2025-09-30,1661000,199320,1860320
O-00301,F-00149,2025B,2025-07-14,2026-02-28,3333500,400020,3733520
O-00302,F-00150,2026A,2026-01-30,2026-09-30,3370000,404400,3774400
O-00303,F-00150,2025A,2025-02-12,2025-09-30,1947000,233640,2180640
O-00304,F-00150,2025B,2025-08-02,2026-02-28,3255500,390660,3646160
O-00305,F-00151,2025A,2025-02-07,2025-09-30,1941000,232920,2173920
O-00306,F-00151,2025B,2025-08-06,2026-02-28,1914000,229680,2143680
O-00307,F-00151,2026A,2026-02-07,2026-09-30,2867000,344040,3211040
O-00308,F-00152,2026A,2026-01-24,2026-09-30,1391000,166920,1557920
O-00309,F-00153,2026A,2026-02-15,2026-09-30,255000,30600,285600
O-00310,F-00154,2025A,2025-02-02,2025-09-30,328500,39420,367920
O-00311,F-00154,2026A,2026-02-07,2026-09-30,1515500,181860,1697360
O-00312,F-00154,2025B,2025-07-05,2026-02-28,1068500,128220,1196720
O-00313,F-00155,2025B,2025-07-09,2026-02-28,816000,97920,913920
O-00314,F-00156,2025A,2025-02-05,2025-09-30,2017500,242100,2259600
O-00315,F-00157,2026A,2026-02-06,2026-09-30,2382500,285900,2668400
O-00316,F-00158,2026A,2026-01-23,2026-09-30,1705000,204600,1909600
O-00317,F-00158,2025A,2025-02-19,2025-09-30,3185000,382200,3567200
O-00318,F-00159,2025A,2025-01-20,2025-09-30,232000,27840,259840
O-00319,F-00159,2025B,2025-07-05,2026-02-28,824500,98940,923440
O-00320,F-00160,2025B,2025-08-05,2026-02-28,2397000,287640,2684640
O-00321,F-00160,2025A,2025-02-19,2025-09-30,1752000,210240,1962240
O-00322,F-00161,2026A,2026-02-11,2026-09-30,676000,81120,757120
O-00323,F-00161,2025B,2025-07-15,2026-02-28,2155000,258600,2413600
O-00324,F-00161,2025A,2025-01-26,2025-09-30,1714500,205740,1920240
O-00325,F-00162,2025A,2025-01-15,2025-09-30,1190000,142800,1332800
O-00326,F-00162,2025B,2025-07-18,2026-02-28,2952000,354240,3306240
O-00327,F-00162,2026A,2026-01-22,2026-09-30,777500,93300,870800
O-00328,F-00163,2025A,2025-02-20,2025-09-30,2436000,292320,2728320
O-00329,F-00163,2025B,2025-07-06,2026-02-28,458500,55020,513520
O-00330,F-00164,2025A,2025-01-23,2025-09-30,727000,87240,814240
O-00331,F-00164,2026A,2026-01-27,2026-09-30,1768000,212160,1980160
O-00332,F-00165,2026A,2026-01-15,2026-09-30,1278000,153360,1431360
O-00333,F-00165,2025B,2025-08-09,2026-02-28,171000,20520,191520
O-00334,F-00166,2025A,2025-01-28,2025-09-30,1088000,130560,1218560
O-00335,F-00166,2026A,2026-02-16,2026-09-30,1254000,150480,1404480
O-00336,F-00167,2026A,2026-01-30,2026-09-30,3995000,479400,4474400
O-00337,F-00168,2025A,2025-02-23,2025-09-30,465000,55800,520800
O-00338,F-00168,2026A,2026-01-19,2026-09-30,762000,91440,853440
O-00339,F-00168,2025B,2025-07-14,2026-02-28,1479000,177480,1656480
O-00340,F-00169,2025B,2025-07-25,2026-02-28,2162000,259440,2421440
O-00341,F-00170,2025A,2025-02-24,2025-09-30,1178500,141420,1319920
O-00342,F-00170,2025B,2025-07-09,2026-02-28,2691500,322980,3014480
O-00343,F-00171,2026A,2026-02-01,2026-09-30,1770000,212400,1982400
O-00344,F-00171,2025B,2025-08-07,2026-02-28,373000,44760,417760
O-00345,F-00172,2025A,2025-02-10,2025-09-30,1052500,126300,1178800
O-00346,F-00172,2026A,2026-02-16,2026-09-30,1833000,219960,2052960
O-00347,F-00172,2025B,2025-07-10,2026-02-28,2894000,347280,3241280
O-00348,F-00173,2025A,2025-02-21,2025-09-30,1297000,155640,1452640
O-00349,F-00174,2025A,2025-01-23,2025-09-30,1830500,219660,2050160
O-00350,F-00174,2026A,2026-02-02,2026-09-30,2104000,252480,2356480
O-00351,F-00175,2025B,2025-07-15,2026-02-28,1414500,169740,1584240
O-00352,F-00175,2025A,2025-01-25,2025-09-30,935000,112200,1047200
O-00353,F-00175,2026A,2026-02-08,2026-09-30,1043000,125160,1168160
O-00354,F-00176,2026A,2026-01-20,2026-09-30,2219000,266280,2485280
O-00355,F-00177,2025A,2025-02-10,2025-09-30,1340500,160860,1501360
O-00356,F-00177,2025B,2025-07-15,2026-02-28,75500,9060,84560
O-00357,F-00178,2025B,2025-07-03,2026-02-28,2284000,274080,2558080
O-00358,F-00178,2025A,2025-02-04,2025-09-30,2115000,253800,2368800
O-00359,F-00179,2025B,2025-07-18,2026-02-28,713500,85620,799120
O-00360,F-00179,2026A,2026-02-20,2026-09-30,1003000,120360,1123360
O-00361,F-00179,2025A,2025-01-19,2025-09-30,1183000,141960,1324960
O-00362,F-00180,2025A,2025-02-05,2025-09-30,4399000,527880,4926880
