order_item_id,order_id,product_id,quantity,unit_price_cents,line_total_cents
I-000261,O-00072,P-01,2,45000,90000
I-000262,O-00073,P-02,3,210000,630000
I-000263,O-00073,P-06,3,341000,1023000
I-000264,O-00073,P-09,1,47500,47500
I-000265,O-00073,P-07,3,280000,840000
I-000266,O-00073,P-04,1,625000,625000
I-000267,O-00074,P-07,2,280000,560000
I-000268,O-00074,P-08,1,36000,36000
I-000269,O-00074,P-05,2,520000,1040000
I-000270,O-00074,P-02,1,210000,210000
I-000271,O-00074,P-03,1,62000,62000
I-000272,O-00075,P-10,2,28000,56000
I-000273,O-00075,P-03,1,62000,62000
I-000274,O-00076,P-06,1,341000,341000
I-000275,O-00076,P-01,1,45000,45000
I-000276,O-00077,P-05,2,520000,1040000
I-000277,O-00077,P-08,1,36000,36000
I-000278,O-00077,P-06,2,341000,682000
I-000279,O-00078,P-09,3,47500,142500
I-000280,O-00078,P-10,1,28000,28000
I-000281,O-00078,P-05,1,520000,520000
I-000282,O-00079,P-05,2,520000,1040000
I-000283,O-00079,P-10,1,28000,28000
I-000284,O-00079,P-08,1,36000,36000
I-000285,O-00080,P-01,3,45000,135000
I-000286,O-00080,P-05,1,520000,520000
I-000287,O-00080,P-09,1,47500,47500
I-000288,O-00081,P-10,1,28000,28000
I-000289,O-00081,P-05,2,520000,1040000
I-000290,O-00082,P-08,2,36000,72000
I-000291,O-00082,P-07,1,280000,280000
I-000292,O-00082,P-02,3,210000,630000
I-000293,O-00082,P-05,1,520000,520000
I-000294,O-00083,P-01,3,45000,135000
I-000295,O-00083,P-03,1,62000,62000
I-000296,O-00083,P-07,2,280000,560000
I-000297,O-00083,P-10,1,28000,28000
I-000298,O-00084,P-07,2,280000,560000
I-000299,O-00084,P-02,2,210000,420000
I-000300,O-00084,P-10,2,28000,56000
I-000301,O-00084,P-08,3,36000,108000
I-000302,O-00085,P-02,1,210000,210000
I-000303,O-00085,P-05,2,520000,1040000
I-000304,O-00086,P-09,3,47500,142500
I-000305,O-00086,P-02,2,210000,420000
I-000306,O-00086,P-05,1,520000,520000
I-000307,O-00087,P-02,2,210000,420000
I-000308,O-00087,P-07,1,280000,280000
I-000309,O-00087,P-06,1,341000,341000
I-000310,O-00088,P-02,1,210000,210000
I-000311,O-00088,P-06,3,341000,1023000
I-000312,O-00088,P-01,2,45000,90000
I-000313,O-00089,P-04,3,625000,1875000
I-000314,O-00089,P-06,3,341000,1023000
I-000315,O-00089,P-03,3,62000,186000
I-000316,O-00089,P-08,2,36000,72000
I-000317,O-00090,P-06,3,341000,1023000
I-000318,O-00090,P-09,3,47500,142500
I-000319,O-00090,P-01,2,45000,90000
I-000320,O-00090,P-02,2,210000,420000
I-000321,O-00090,P-05,1,520000,520000
I-000322,O-00091,P-05,3,520000,1560000
I-000323,O-00091,P-07,1,280000,280000
I-000324,O-00091,P-06,3,341000,1023000
I-000325,O-00091,P-02,1,210000,210000
I-000326,O-00091,P-01,2,45000,90000
I-000327,O-00092,P-03,1,62000,62000
I-000328,O-00092,P-06,2,341000,682000
I-000329,O-00093,P-01,2,45000,90000
I-000330,O-00093,P-04,2,625000,1250000
I-000331,O-00093,P-05,1,520000,520000
I-000332,O-00093,P-09,1,47500,47500
I-000333,O-00093,P-06,1,341000,341000
I-000334,O-00094,P-08,2,36000,72000
I-000335,O-00094,P-06,3,341000,1023000
I-000336,O-00094,P-10,3,28000,84000
I-000337,O-00094,P-04,2,625000,1250000
I-000338,O-00095,P-07,1,280000,280000
I-000339,O-00095,P-06,2,341000,682000
I-000340,O-00096,P-01,3,45000,135000
I-000341,O-00096,P-10,1,28000,28000
I-000342,O-00096,P-03,1,62000,62000
I-000343,O-00096,P-08,3,36000,108000
I-000344,O-00096,P-04,2,625000,1250000
I-000345,O-00097,P-05,3,520000,1560000
I-000346,O-00097,P-08,2,36000,72000
I-000347,O-00097,P-01,1,45000,45000
I-000348,O-00097,P-04,3,625000,1875000
I-000349,O-00098,P-02,1,210000,210000
I-000350,O-00098,P-04,2,625000,1250000
I-000351,O-00098,P-03,1,62000,62000
I-000352,O-00098,P-08,2,36000,72000
I-000353,O-00099,P-07,1,280000,280000
I-000354,O-00099,P-08,2,36000,72000
I-000355,O-00100,P-01,2,45000,90000
I-000356,O-00100,P-08,2,36000,72000
I-000357,O-00100,P-03,3,62000,186000
I-000358,O-00100,P-06,1,341000,341000
I-000359,O-00101,P-07,2,280000,560000
I-000360,O-00101,P-06,2,341000,682000
I-000361,O-00101,P-03,1,62000,62000
I-000362,O-00101,P-02,1,210000,210000
I-000363,O-00101,P-05,1,520000,520000
I-000364,O-00102,P-05,2,520000,1040000
I-000365,O-00102,P-08,2,36000,72000
I-000366,O-00102,P-09,1,47500,47500
I-000367,O-00102,P-04,3,625000,1875000
I-000368,O-00102,P-07,1,280000,280000
I-000369,O-00103,P-10,1,28000,28000
I-000370,O-00103,P-05,3,520000,1560000
I-000371,O-00103,P-02,1,210000,210000
I-000372,O-00103,P-07,3,280000,840000
I-000373,O-00103,P-06,3,341000,1023000
I-000374,O-00104,P-05,3,520000,1560000
I-000375,O-00104,P-08,3,36000,108000
I-000376,O-00104,P-01,1,45000,45000
I-000377,O-00105,P-08,3,36000,108000
I-000378,O-00105,P-01,2,45000,90000
I-000379,O-00105,P-06,2,341000,682000
I-000380,O-00106,P-03,1,62000,62000
I-000381,O-00106,P-07,3,280000,840000
I-000382,O-00107,P-10,3,28000,84000
I-000383,O-00107,P-07,2,280000,560000
I-000384,O-00108,P-08,1,36000,36000
I-000385,O-00108,P-09,3,47500,142500
I-000386,O-00108,P-02,2,210000,420000
I-000387,O-00109,P-03,3,62000,186000
I-000388,O-00109,P-08,3,36000,108000
I-000389,O-00109,P-10,2,28000,56000
I-000390,O-00109,P-04,3,625000,1875000
I-000391,O-00110,P-02,1,210000,210000
I-000392,O-00110,P-08,1,36000,36000
I-000393,O-00111,P-10,2,28000,56000
I-000394,O-00111,P-09,1,47500,47500
I-000395,O-00112,P-07,3,280000,840000
I-000396,O-00112,P-05,2,520000,1040000
I-000397,O-00112,P-09,1,47500,47500
I-000398,O-00112,P-10,3,28000,84000
I-000399,O-00112,P-03,2,62000,124000
I-000400,O-00113,P-08,3,36000,108000
I-000401,O-00113,P-03,1,62000,62000
I-000402,O-00113,P-02,3,210000,630000
I-000403,O-00114,P-08,3,36000,108000
I-000404,O-00114,P-02,3,210000,630000
I-000405,O-00114,P-05,2,520000,1040000
I-000406,O-00115,P-10,2,28000,56000
I-000407,O-00115,P-02,3,210000,630000
I-000408,O-00115,P-08,3,36000,108000
I-000409,O-00115,P-06,3,341000,1023000
I-000410,O-00115,P-01,3,45000,135000
I-000411,O-00116,P-10,3,28000,84000
I-000412,O-00116,P-03,1,62000,62000
I-000413,O-00116,P-09,2,47500,95000
I-000414,O-00116,P-06,1,341000,341000
I-000415,O-00116,P-01,2,45000,90000
I-000416,O-00117,P-09,3,47500,142500
I-000417,O-00117,P-10,3,28000,84000
I-000418,O-00118,P-03,1,62000,62000
I-000419,O-00118,P-10,1,28000,28000
I-000420,O-00119,P-03,1,62000,62000
I-000421,O-00119,P-01,1,45000,45000
I-000422,O-00119,P-05,1,520000,520000
I-000423,O-00120,P-10,1,28000,28000
I-000424,O-00120,P-09,3,47500,142500
I-000425,O-00120,P-05,1,520000,520000
I-000426,O-00121,P-06,1,341000,341000
I-000427,O-00121,P-09,2,47500,95000
I-000428,O-00121,P-10,2,28000,56000
I-000429,O-00122,P-09,2,47500,95000
I-000430,O-00122,P-04,1,625000,625000
I-000431,O-00122,P-06,1,341000,341000
I-000432,O-00122,P-03,3,62000,186000
I-000433,O-00122,P-01,2,45000,90000
I-000434,O-00123,P-07,1,280000,280000
I-000435,O-00123,P-02,3,210000,630000
I-000436,O-00123,P-05,2,520000,1040000
I-000437,O-00124,P-03,2,62000,124000
I-000438,O-00124,P-06,2,341000,682000
I-000439,O-00124,P-04,2,625000,1250000
I-000440,O-00125,P-09,3,47500,142500
I-000441,O-00125,P-06,2,341000,682000
I-000442,O-00125,P-02,2,210000,420000
I-000443,O-00125,P-04,1,625000,625000
I-000444,O-00126,P-04,3,625000,1875000
I-000445,O-00126,P-01,1,45000,45000
I-000446,O-00127,P-08,2,36000,72000
I-000447,O-00127,P-10,1,28000,28000
I-000448,O-00128,P-02,3,210000,630000
I-000449,O-00128,P-04,1,625000,625000
I-000450,O-00128,P-07,1,280000,280000
I-000451,O-00129,P-09,1,47500,47500
I-000452,O-00129,P-02,2,210000,420000
I-000453,O-00129,P-01,2,45000,90000
I-000454,O-00130,P-08,3,36000,108000
I-000455,O-00130,P-10,3,28000,84000
I-000456,O-00130,P-02,3,210000,630000
I-000457,O-00130,P-07,2,280000,560000
I-000458,O-00131,P-09,3,47500,142500
I-000459,O-00131,P-06,3,341000,1023000
I-000460,O-00132,P-05,3,520000,1560000
I-000461,O-00132,P-08,3,36000,108000
I-000462,O-00133,P-08,3,36000,108000
I-000463,O-00133,P-01,1,45000,45000
I-000464,O-00133,P-06,3,341000,1023000
I-000465,O-00133,P-03,1,62000,62000
I-000466,O-00134,P-02,2,210000,420000
I-000467,O-00134,P-04,3,625000,1875000
I-000468,O-00134,P-08,3,36000,108000
I-000469,O-00134,P-06,3,341000,1023000
I-000470,O-00134,P-09,2,47500,95000
I-000471,O-00135,P-07,3,280000,840000
I-000472,O-00135,P-02,1,210000,210000
I-000473,O-00135,P-05,3,520000,1560000
I-000474,O-00135,P-04,1,625000,625000
I-000475,O-00135,P-08,2,36000,72000
I-000476,O-00136,P-01,2,45000,90000
I-000477,O-00136,P-06,1,341000,341000
I-000478,O-00136,P-04,1,625000,625000
I-000479,O-00136,P-05,3,520000,1560000
I-000480,O-00136,P-10,1,28000,28000
I-000481,O-00137,P-05,3,520000,1560000
I-000482,O-00137,P-02,1,210000,210000
I-000483,O-00137,P-09,1,47500,47500
I-000484,O-00137,P-03,2,62000,124000
I-000485,O-00138,P-05,3,520000,1560000
I-000486,O-00138,P-01,2,45000,90000
I-000487,O-00138,P-03,1,62000,62000
I-000488,O-00139,P-03,1,62000,62000
I-000489,O-00139,P-08,1,36000,36000
I-000490,O-00140,P-09,1,47500,47500
I-000491,O-00140,P-04,2,625000,1250000
I-000492,O-00140,P-05,2,520000,1040000
I-000493,O-00140,P-02,3,210000,630000
I-000494,O-00141,P-02,3,210000,630000
I-000495,O-00141,P-10,3,28000,84000
I-000496,O-00141,P-01,3,45000,135000
I-000497,O-00141,P-07,1,280000,280000
I-000498,O-00142,P-01,3,45000,135000
I-000499,O-00142,P-09,1,47500,47500
I-000500,O-00142,P-02,2,210000,420000
I-000501,O-00142,P-08,2,36000,72000
I-000502,O-00143,P-07,2,280000,560000
I-000503,O-00143,P-03,1,62000,62000
I-000504,O-00143,P-06,1,341000,341000
I-000505,O-00143,P-10,3,28000,84000
I-000506,O-00144,P-03,1,62000,62000
I-000507,O-00144,P-04,2,625000,1250000
I-000508,O-00145,P-02,3,210000,630000
I-000509,O-00145,P-06,2,341000,682000
I-000510,O-00145,P-05,3,520000,1560000
I-000511,O-00145,P-10,1,28000,28000
I-000512,O-00146,P-06,2,341000,682000
I-000513,O-00146,P-09,2,47500,95000
I-000514,O-00147,P-01,1,45000,45000
I-000515,O-00147,P-09,2,47500,95000
I-000516,O-00148,P-03,3,62000,186000
I-000517,O-00148,P-02,2,210000,420000
I-000518,O-00149,P-10,1,28000,28000
I-000519,O-00149,P-04,3,625000,1875000
I-000520,O-00149,P-07,1,280000,280000
I-000521,O-00149,P-09,3,47500,142500
I-000522,O-00150,P-08,3,36000,108000
I-000523,O-00150,P-02,3,210000,630000
I-000524,O-00150,P-03,2,62000,124000
I-000525,O-00151,P-04,2,625000,1250000
I-000526,O-00151,P-09,2,47500,95000
I-000527,O-00151,P-03,2,62000,124000
I-000528,O-00151,P-01,2,45000,90000
I-000529,O-00151,P-10,1,28000,28000
I-000530,O-00152,P-10,1,28000,28000
I-000531,O-00152,P-07,1,280000,280000
I-000532,O-00152,P-06,3,341000,1023000
I-000533,O-00153,P-02,2,210000,420000
I-000534,O-00153,P-07,3,280000,840000
I-000535,O-00153,P-09,3,47500,142500
I-000536,O-00153,P-08,3,36000,108000
I-000537,O-00154,P-01,3,45000,135000
I-000538,O-00154,P-08,1,36000,36000
I-000539,O-00154,P-06,2,341000,682000
I-000540,O-00154,P-05,2,520000,1040000
I-000541,O-00154,P-09,3,47500,142500
I-000542,O-00155,P-02,1,210000,210000
I-000543,O-00155,P-08,1,36000,36000
I-000544,O-00155,P-04,3,625000,1875000
I-000545,O-00155,P-03,1,62000,62000
I-000546,O-00156,P-04,2,625000,1250000
I-000547,O-00156,P-10,3,28000,84000
I-000548,O-00156,P-03,1,62000,62000
I-000549,O-00156,P-08,1,36000,36000
I-000550,O-00156,P-02,3,210000,630000
I-000551,O-00157,P-02,2,210000,420000
I-000552,O-00157,P-05,2,520000,1040000
I-000553,O-00157,P-01,2,45000,90000
I-000554,O-00158,P-04,2,625000,1250000
I-000555,O-00158,P-05,2,520000,1040000
I-000556,O-00158,P-07,2,280000,560000
I-000557,O-00158,P-03,3,62000,186000
I-000558,O-00159,P-04,3,625000,1875000
I-000559,O-00159,P-08,2,36000,72000
I-000560,O-00159,P-02,1,210000,210000
I-000561,O-00159,P-05,3,520000,1560000
I-000562,O-00160,P-07,1,280000,280000
I-000563,O-00160,P-06,3,341000,1023000
I-000564,O-00160,P-08,2,36000,72000
I-000565,O-00160,P-03,1,62000,62000
I-000566,O-00160,P-04,3,625000,1875000
I-000567,O-00161,P-09,2,47500,95000
I-000568,O-00161,P-06,2,341000,682000
I-000569,O-00162,P-08,2,36000,72000
I-000570,O-00162,P-02,1,210000,210000
I-000571,O-00162,P-04,3,625000,1875000
I-000572,O-00162,P-10,2,28000,56000
I-000573,O-00162,P-09,3,47500,142500
I-000574,O-00163,P-07,3,280000,840000
I-000575,O-00163,P-01,1,45000,45000
I-000576,O-00163,P-09,2,47500,95000
I-000577,O-00163,P-05,2,520000,1040000
I-000578,O-00164,P-03,1,62000,62000
I-000579,O-00164,P-04,1,625000,625000
I-000580,O-00164,P-09,1,47500,47500
I-000581,O-00164,P-02,2,210000,420000
I-000582,O-00164,P-05,2,520000,1040000
I-000583,O-00165,P-01,1,45000,45000
I-000584,O-00165,P-07,1,280000,280000
I-000585,O-00165,P-06,1,341000,341000
I-000586,O-00165,P-05,1,520000,520000
I-000587,O-00166,P-07,1,280000,280000
I-000588,O-00166,P-04,2,625000,1250000
I-000589,O-00167,P-10,2,28000,56000
I-000590,O-00167,P-06,1,341000,341000
I-000591,O-00167,P-07,1,280000,280000
I-000592,O-00167,P-05,3,520000,1560000
I-000593,O-00167,P-08,1,36000,36000
I-000594,O-00168,P-07,3,280000,840000
I-000595,O-00168,P-05,1,520000,520000
I-000596,O-00169,P-03,1,62000,62000
I-000597,O-00169,P-10,2,28000,56000
I-000598,O-00169,P-02,2,210000,420000
I-000599,O-00169,P-09,1,47500,47500
I-000600,O-00169,P-08,2,36000,72000
I-000601,O-00170,P-10,3,28000,84000
I-000602,O-00170,P-08,2,36000,72000
I-000603,O-00170,P-01,3,45000,135000
I-000604,O-00170,P-09,2,47500,95000
I-000605,O-00170,P-04,3,625000,1875000
I-000606,O-00171,P-03,3,62000,186000
I-000607,O-00171,P-10,2,28000,56000
I-000608,O-00171,P-06,2,341000,682000
I-000609,O-00172,P-04,1,625000,625000
I-000610,O-00172,P-10,3,28000,84000
I-000611,O-00172,P-09,1,47500,47500
I-000612,O-00173,P-04,2,625000,1250000
I-000613,O-00173,P-02,2,210000,420000
I-000614,O-00173,P-01,2,45000,90000
I-000615,O-00173,P-09,3,47500,142500
I-000616,O-00174,P-09,3,47500,142500
I-000617,O-00174,P-07,3,280000,840000
I-000618,O-00174,P-04,1,625000,625000
I-000619,O-00174,P-02,1,210000,210000
I-000620,O-00174,P-01,2,45000,90000
I-000621,O-00175,P-04,1,625000,625000
I-000622,O-00175,P-02,1,210000,210000
I-000623,O-00176,P-02,2,210000,420000
I-000624,O-00176,P-08,3,36000,108000
I-000625,O-00176,P-09,3,47500,142500
I-000626,O-00176,P-06,2,341000,682000
I-000627,O-00176,P-01,2,45000,90000
I-000628,O-00177,P-02,3,210000,630000
